0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
185	3	0	161	22	1	703	1032	1095	1281
38	4	22	24	100	698	265	223	526	710
181	22	406	22	22	391	1218	548	197	679
1	7	26	297	39	70	622	6	695	1565
2	442	4	730	2	22	627	296	1512	386
0	8	443	341	8	51	1079	604	89	3454
168	290	616	422	8	6	364	166	545	801
5	7	443	253	2513	38	20	486	803	931
167	92	0	699	388	278	20	1730	994	1237
76	0	304	46	74	645	114	394	1090	88
0	161	348	59	455	54	412	112	698	199
1	319	28	254	1270	1	103	442	3	404
4	46	5	195	458	333	51	166	368	259
3	0	81	310	36	181	1058	309	640	1328
137	129	465	62	0	80	60	360	751	7
8	1	810	266	533	936	502	223	816	266
3	7	136	2	566	32	398	688	537	264
7	8	924	33	202	197	5	19	897	23
54	439	3	30	3	417	319	545	286	1126
1	114	27	722	41	570	4	346	703	836
0	219	239	64	253	795	14	512	791	2446
296	147	1	82	39	48	53	199	309	611
8	344	778	456	11	807	0	621	8	43
0	39	156	83	643	518	203	705	1794	518
2	194	17	321	0	262	771	142	462	134
9	0	430	164	229	341	930	367	832	727
12	377	207	187	50	135	438	67	988	394
397	39	14	3	36	942	769	1406	1513	555
0	2	523	726	400	64	299	664	243	658
63	280	288	102	50	102	54	178	1041	521
2	24	156	1	54	10	677	728	91	324
3	205	456	808	286	182	1104	840	382	781
163	4	42	118	183	37	363	321	159	386
6	0	98	23	364	229	453	134	390	953
0	2	4	140	696	134	1586	402	302	1163
81	5	369	2	320	9	833	347	227	182
66	6	264	3	169	477	68	142	406	237
1	15	374	118	199	642	305	346	532	339
220	3	102	371	724	2256	157	290	11	1295
73	189	6	44	859	669	253	738	2566	1440
52	78	413	27	199	1833	1004	319	592	588
96	135	7	158	19	631	492	428	458	1246
431	25	192	395	141	398	673	0	619	1420
1	2	43	850	105	687	839	1033	477	423
0	528	76	4	520	613	426	335	423	308
7	2	529	397	412	460	248	413	703	446
275	266	465	446	87	116	327	801	280	905
0	11	4	849	408	435	853	58	520	449
19	26	231	9	235	244	638	1057	404	2736
47	1	2	6	6	241	426	670	572	6
