1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
132	539	271	328	253	220	0	286	104	198
144	446	208	912	264	991	103	410	429	1211
244	490	324	645	417	232	104	258	537	455
293	111	109	612	265	286	104	326	239	610
255	241	443	218	223	622	644	263	487	966
246	186	425	527	105	403	240	766	211	325
0	341	436	243	106	357	307	340	346	828
280	261	399	0	105	293	291	379	233	273
323	0	232	208	623	247	0	304	0	220
186	432	190	111	243	246	213	0	1290	384
105	111	479	102	299	630	196	381	834	346
452	111	130	371	106	101	331	438	388	231
301	331	285	342	233	369	622	0	380	336
111	115	310	0	107	234	106	222	207	412
155	223	107	261	520	0	622	224	235	213
0	230	106	531	180	218	323	104	361	0
110	113	106	517	373	721	294	216	318	440
0	126	245	412	414	250	264	550	328	319
101	355	309	108	197	342	307	474	1029	100
345	102	494	123	549	212	437	433	104	414
228	104	195	370	466	111	235	0	455	130
119	243	186	212	339	477	461	207	737	532
189	290	380	139	324	286	103	414	416	523
0	329	453	304	220	211	624	490	487	643
357	227	123	691	206	382	209	145	231	235
128	193	667	156	207	229	322	458	153	112
109	232	443	628	694	343	107	629	207	271
123	263	0	116	344	443	301	268	342	333
118	218	944	302	125	119	213	627	312	401
0	0	323	0	105	377	115	490	477	257
319	429	115	982	445	163	402	216	110	0
238	942	255	317	225	321	434	238	108	202
110	105	582	478	111	524	540	313	102	338
228	187	104	248	888	407	225	602	262	126
107	140	109	537	106	211	742	0	669	562
0	235	224	332	540	430	485	427	264	510
105	202	317	301	164	232	317	458	746	351
227	135	236	103	194	212	461	190	233	579
101	0	343	312	444	228	465	224	656	360
105	127	0	213	747	260	705	1454	535	196
221	148	407	102	223	493	746	116	195	509
0	107	601	614	308	423	242	113	117	130
539	137	218	451	233	0	353	463	332	109
102	193	129	117	677	163	503	116	212	316
220	103	374	342	431	323	352	248	456	509
112	123	100	0	388	326	311	359	784	229
240	407	241	207	124	108	454	198	701	436
464	504	0	321	232	220	305	206	431	1001
284	0	136	101	275	428	583	0	584	214
341	211	289	247	816	542	316	355	230	322
307	311	557	109	222	523	956	103	209	0
304	306	130	109	229	106	107	228	529	667
234	103	480	471	441	232	570	349	582	105
0	167	135	149	232	109	105	409	108	645
120	109	0	378	128	213	553	128	275	107
411	244	432	408	210	332	110	288	234	445
202	262	315	122	160	666	365	428	478	278
250	116	109	104	360	213	314	234	213	224
211	219	498	548	336	383	324	260	115	233
0	231	227	432	115	112	333	102	538	101
511	0	138	136	424	233	541	318	354	104
434	137	180	212	207	0	453	669	318	381
144	244	720	210	233	329	846	220	313	226
342	459	114	638	176	414	570	502	611	356
119	320	0	345	216	347	103	230	379	436
127	106	380	140	320	498	187	104	350	0
228	126	138	477	488	0	204	432	808	109
119	225	136	0	153	514	572	325	114	654
111	226	0	463	310	258	292	445	437	455
248	0	305	482	105	131	416	237	302	507
0	423	0	625	111	248	634	604	551	270
236	0	193	207	246	108	104	358	629	291
328	145	271	104	146	215	379	217	106	325
108	380	207	499	334	627	423	218	214	666
116	0	138	225	209	111	481	430	353	583
119	231	346	339	213	246	250	240	286	237
173	577	109	425	368	318	207	768	1226	102
218	233	195	128	115	926	101	114	283	180
288	110	0	302	139	357	471	801	243	472
134	105	332	366	217	386	614	328	840	426
217	103	116	0	253	549	294	340	413	926
0	450	301	0	218	308	148	544	486	122
251	113	214	324	109	230	581	276	311	215
180	215	105	464	0	590	568	492	246	971
150	215	109	235	273	104	213	245	1393	343
353	109	112	103	108	398	320	224	105	113
126	404	924	0	111	835	307	209	330	235
436	125	317	363	212	556	354	308	781	0
145	379	254	401	169	207	226	220	420	399
451	213	574	371	223	350	219	653	730	581
118	108	559	459	367	391	636	220	652	0
0	493	100	155	116	537	209	113	445	425
134	217	126	523	384	109	352	0	473	393
0	570	111	0	500	306	0	530	209	420
112	206	744	257	600	306	327	572	334	345
210	140	482	225	191	722	633	564	306	225
110	411	215	111	277	226	0	748	111	123
219	212	430	194	259	282	111	246	211	283
0	104	449	425	286	206	336	106	208	390
302	708	252	0	244	215	351	0	305	301
208	211	370	0	226	221	739	481	405	456
167	330	151	226	487	210	392	277	102	921
142	128	426	445	104	112	227	295	107	515
463	102	323	516	105	405	554	589	446	378
104	272	186	372	455	528	108	235	446	235
106	143	251	113	682	484	111	197	494	300
287	146	104	307	382	249	275	756	454	965
110	326	430	275	422	231	111	558	327	496
209	342	111	749	353	111	369	405	233	330
142	187	155	304	430	126	651	271	104	377
128	230	669	485	429	220	220	213	362	407
187	251	0	718	224	228	233	0	870	450
562	0	334	323	429	107	605	111	327	245
116	0	207	107	349	111	234	216	126	117
116	245	379	0	101	368	155	153	623	112
247	121	368	153	238	206	802	619	641	697
126	135	242	106	228	124	348	376	128	138
676	109	334	0	228	187	422	127	472	344
122	266	468	320	346	105	413	326	261	646
126	250	254	343	0	227	121	339	762	101
266	214	160	249	136	126	173	349	135	0
0	187	118	438	209	588	219	1094	314	586
0	221	479	356	0	109	218	375	241	549
100	584	103	118	350	101	635	211	211	106
108	416	0	282	102	391	277	111	526	0
0	111	499	165	335	316	372	327	282	520
128	206	333	126	349	284	332	328	683	445
0	0	113	457	109	359	179	262	540	556
251	104	136	221	342	111	133	414	272	473
255	570	0	358	238	210	233	327	116	298
187	332	600	231	0	0	797	230	321	597
