1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
0	0	0	0	2	2	1	5	10	3
0	0	0	1	4	1	4	6	6	2
0	0	0	0	1	1	0	2	4	4
0	2	0	1	2	2	5	0	1	0
2	0	2	2	1	3	4	0	1	1
0	4	1	0	5	1	1	0	1	5
0	1	0	3	0	31	29	0	0	1
1	1	0	1	0	4	1	1	5	83
0	0	1	0	12	3	2	10	8	3
1	4	2	0	0	5	22	0	0	0
0	0	0	0	0	0	1	12	0	0
0	1	0	0	1	1	10	0	2	0
1	4	0	0	0	4	0	4	9	1
2	2	0	9	1	2	0	1	14	0
0	1	0	1	0	1	0	5	1	3
0	0	0	1	0	1	0	0	29	0
0	0	0	2	3	1	2	4	6	12
0	0	0	2	0	19	0	6	1	1
0	0	0	0	1	4	1	9	1	11
0	2	2	1	32	7	1	2	1	2
2	1	0	0	2	10	1	0	3	3
0	0	0	0	0	6	1	6	15	81
0	1	0	1	1	0	2	9	0	2
0	1	0	1	1	0	0	0	10	6
0	4	5	3	2	5	2	0	3	0
0	0	0	35	5	4	15	0	5	6
2	0	0	3	0	3	7	3	1	0
6	2	2	5	7	1	3	3	0	5
0	1	2	0	1	4	0	0	4	0
0	0	0	4	2	0	0	2	1	5
0	2	0	2	0	3	2	0	2	11
0	0	18	0	0	1	2	0	4	6
0	1	0	4	0	3	0	1	2	14
1	2	1	3	0	0	1	0	0	3
0	1	0	2	2	0	0	41	2	11
4	0	1	0	2	2	1	9	0	46
1	0	0	1	0	0	1	0	2	9
2	1	0	0	0	0	1	0	0	12
0	0	12	1	5	1	2	2	4	0
2	0	0	1	0	1	0	0	1	6
1	0	8	1	0	2	17	2	1	0
2	0	0	0	1	3	3	0	2	7
0	3	1	4	40	0	2	3	0	0
0	0	0	0	8	1	3	0	2	4
0	3	1	0	1	1	2	2	6	0
3	1	2	3	2	2	0	13	2	0
0	1	0	0	0	0	1	4	3	5
0	6	0	1	1	3	1	1	5	0
0	0	1	0	2	4	1	1	3	10
0	0	0	0	8	7	0	0	8	3
0	0	0	1	0	0	9	5	25	5
0	3	1	0	2	2	0	38	2	6
2	0	0	0	0	3	0	1	1	0
2	0	0	1	1	1	1	8	3	1
1	0	0	0	0	0	1	1	2	2
1	0	0	0	2	88	0	38	6	0
0	0	0	0	5	0	1	4	0	13
0	0	0	4	4	1	8	3	0	8
0	2	0	0	0	6	0	2	2	46
11	0	1	0	2	1	2	2	0	1
1	2	2	0	1	0	1	0	9	1
3	0	1	0	11	0	5	2	1	1
0	1	0	1	1	2	10	0	2	3
0	0	3	0	0	21	3	0	2	3
0	0	21	8	2	1	1	2	4	1
1	1	6	2	0	9	2	17	5	1
0	1	0	0	0	4	1	6	3	1
4	0	9	2	1	3	14	1	1	2
0	1	0	0	0	5	0	4	13	2
0	0	0	1	1	7	9	1	1	1
0	2	0	0	0	0	2	1	39	5
3	1	0	0	2	6	4	2	10	3
2	0	2	3	0	1	4	7	1	14
0	1	0	0	0	2	5	3	6	2
0	0	0	4	0	0	1	8	2	4
0	1	5	2	3	5	2	1	0	1
0	2	1	0	0	0	9	2	9	10
0	0	0	1	3	2	3	3	7	5
0	2	0	0	1	1	1	0	1	2
2	1	1	3	0	0	0	49	1	4
0	0	5	2	11	2	10	0	4	3
0	1	11	0	3	0	5	3	2	4
0	1	0	7	0	1	4	0	3	5
2	5	1	4	2	0	1	1	0	2
0	0	5	5	18	1	1	2	4	67
0	1	2	2	2	4	11	0	1	1
0	0	0	0	0	2	1	0	5	0
0	0	2	0	0	2	0	4	2	5
0	1	8	1	11	0	9	2	9	2
0	0	0	1	0	10	2	0	7	5
0	1	2	1	11	3	0	2	5	3
1	3	2	1	3	2	5	10	1	2
0	1	1	2	8	1	3	0	4	6
0	1	0	0	1	4	9	5	0	0
1	2	1	0	0	1	1	0	0	56
8	2	0	2	0	1	1	3	0	3
0	2	9	0	0	8	0	1	1	3
0	1	0	1	4	1	5	6	1	0
0	0	1	2	0	2	6	0	0	40
0	0	2	0	0	0	0	4	1	4
0	0	0	0	6	21	7	0	5	2
0	3	0	0	0	1	0	6	0	3
0	0	1	1	2	3	0	5	2	2
0	2	0	1	2	4	7	0	6	1
0	0	1	2	2	5	4	3	12	1
0	1	11	1	2	0	1	125	0	0
0	2	4	7	21	2	0	4	2	0
0	0	0	0	1	7	1	4	6	1
0	0	0	1	2	2	5	5	9	2
0	0	0	0	2	1	0	5	2	5
2	0	0	0	0	5	14	0	8	0
2	0	1	0	0	0	4	0	0	40
1	0	3	1	2	0	4	21	67	2
0	0	6	0	1	0	5	6	5	4
0	1	2	0	4	1	0	1	2	28
0	0	0	0	1	0	0	1	0	0
0	1	0	0	1	0	25	2	0	3
0	0	0	4	1	0	0	39	7	2
0	3	1	2	7	0	4	2	3	3
0	0	2	0	2	4	2	3	2	0
14	0	0	0	2	1	0	3	0	0
0	5	0	0	0	1	1	10	0	1
1	0	7	5	0	1	4	1	0	4
0	0	10	1	0	0	2	4	1	1
0	1	2	2	2	0	4	0	3	2
0	0	0	1	3	0	5	12	15	4
1	2	7	1	0	0	1	2	3	1
0	2	2	3	0	1	0	0	0	2
0	1	3	4	3	0	5	0	13	0
0	0	0	0	0	8	8	3	2	8
0	0	0	1	0	0	2	1	14	16
2	0	3	5	2	0	0	0	1	0
0	1	0	5	2	3	0	1	0	1
1	1	4	1	1	3	8	0	5	2
0	0	0	2	1	1	0	1	9	0
0	2	1	1	42	4	1	0	0	4
0	0	0	0	0	0	0	1	1	1
0	0	1	0	1	0	3	0	0	4
1	0	4	0	0	2	0	0	0	1
0	0	1	0	1	1	9	3	3	8
0	0	2	0	0	8	1	0	8	4
0	1	0	2	0	7	0	1	7	2
0	0	2	1	1	1	0	2	0	7
17	0	0	2	4	0	2	2	1	4
0	0	0	0	3	1	7	2	1	7
0	1	1	2	0	13	2	11	1	2
